housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
41,880,223,322,126,208.13,1,452600
21,7099,1338,2401,1138,207.535,1,358500
52,1467,328,496,177,181.435,1,352100
52,1274,293,558,219,141.0775,1,341300
52,1627,357,565,259,96.155,1,342200
52,919,230,413,193,100.92,1,269700
52,2535,520,1094,514,91.4775,1,299200
52,3104,622,1157,647,78,1,241400
42,2555,523,1206,595,52.01,1,226700
52,3549,702,1551,714,92.28,1,261100
52,2202,460,910,402,80.0775,1,281500
52,3503,693,1504,734,81.7625,1,241800
52,2491,512,1098,468,76.875,1,213500
52,696,190,345,174,66.84,1,191300
52,2643,539,1212,620,47.9175,1,159200
50,1120,266,697,264,53.125,1,140000
52,1966,418,793,331,69.375,1,152500
52,1228,285,648,303,53.005,1,155500
50,2239,467,990,419,49.7775,1,158700
52,1503,335,690,275,65.0825,1,162900
40,751,200,409,166,33.945,1,147500
42,1639,359,929,366,42.8375,1,159800
52,2436,502,1015,478,43.125,1,113900
52,1688,368,853,325,54.515,1,99700
52,2224,464,1006,422,65,1,132600
41,535,161,317,119,60.095,1,107500
49,1130,268,607,239,61.4925,1,93800
52,1898,405,1102,397,45.2,1,105500
50,2082,438,1131,473,41.06,1,108900
52,729,196,395,155,42.1875,1,132000
49,1916,409,863,378,48.185,1,122300
52,2153,451,1168,441,49.0375,1,115200
48,1922,410,1026,335,44.9225,1,110400
49,1655,362,754,329,34.375,1,104900
51,2665,543,1258,536,68.2575,1,109700
49,1215,283,570,264,37.1525,1,97200
48,1798,387,987,374,27.43,1,104500
52,1511,336,901,403,35.2575,1,103900
52,1470,329,689,309,87,1,191400
52,2432,501,1377,696,64.745,1,176000
52,1665,364,946,395,52.445,1,155400
51,936,233,517,249,32.13,1,150000
49,713,193,462,189,25.625,1,118800
52,950,235,467,198,99.1075,1,188800
52,1443,324,660,292,75.3125,1,184400
52,1656,362,718,382,66.92,1,182300
50,1125,267,616,304,50.65,1,142500
43,1007,246,558,253,43.37,1,137500
40,624,177,423,160,23.765,1,187500
40,946,235,700,352,44.375,1,112500
21,896,226,735,438,23.045,1,171900
43,1868,400,1061,407,37.6125,1,93800
41,3221,643,1959,720,27.77,1,97500
52,1630,357,1162,400,31.1875,1,104200
52,1170,275,701,233,40.245,1,87500
52,945,234,576,220,35.2825,1,83100
52,1238,287,622,259,37.6425,1,87500
52,1489,332,728,244,20.43,1,85300
52,1387,314,1074,304,30.4275,1,80300
2,158,93,94,57,64.0625,1,60000
52,1121,266,554,187,84.8225,1,75700
49,135,89,86,23,152.9575,1,75000
50,760,201,377,122,22.5275,1,86100
52,1224,284,521,159,29.775,1,76100
48,828,213,392,133,64.845,1,73500
52,1010,246,604,187,29.1675,1,78400
48,1455,326,788,332,20.14,1,84400
52,1027,249,492,147,65.235,1,81300
52,572,167,274,82,46.29,1,85000
46,2801,567,1823,611,24.505,1,129200
26,768,203,392,127,44.2975,1,82500
46,935,233,582,277,18.215,1,95200
49,844,216,560,152,43.75,1,75000
46,12,67,18,7,12.4975,1,67500
20,835,215,290,133,62.075,1,137500
17,1237,287,762,439,23.1025,1,177500
36,2914,588,1236,509,61.16,1,102100
19,1207,281,721,207,27.7775,1,108300
23,1745,378,1054,325,20.065,1,112500
38,684,188,344,155,50.285,1,131300
17,924,231,609,289,37.5,1,162500
52,210,103,183,56,29.1675,1,112500
52,340,126,200,87,38.02,1,112500
52,386,134,346,155,20.1875,1,137500
35,948,235,467,169,45.22,1,118800
52,773,204,377,115,60.2075,1,98200
